,movie name,movie genre,movie date,movie_runtime,movie director,Url
44,"Shang-Chi and the Legend of the Ten Rings
(2021)","Action, Adventure, Fantasy, Science Fiction",09/03/2021,2h 12m,Destin Daniel Cretton,https://www.themoviedb.org//movie/566525
45,"Black Crab
(2022)","Action, Thriller",03/18/2022,1h 49m,Adam Berg,https://www.themoviedb.org//movie/760868
46,"Crush
(2022)","Comedy, Romance",04/29/2022,1h 32m,Sammi Cohen,https://www.themoviedb.org//movie/860159
47,"Avatar
(2009)","Action, Adventure, Fantasy, Science Fiction",08/27/2010,2h 42m,James Cameron,https://www.themoviedb.org//movie/19995
48,"The Requin
(2022)",Thriller,01/28/2022,1h 29m,Lê Văn Kiệt,https://www.themoviedb.org//movie/803114
49,"Resident Evil: Welcome to Raccoon City
(2021)","Horror, Action, Science Fiction",11/26/2021,1h 47m,Johannes Roberts,https://www.themoviedb.org//movie/460458
50,"Redeeming Love
(2022)","Drama, History, Romance",01/21/2022,2h 14m,D. J. Caruso,https://www.themoviedb.org//movie/698508
51,"The Seven Deadly Sins: Cursed by Light
(2021)","Animation, Fantasy",07/02/2021,1h 19m,Takayuki Hamana,https://www.themoviedb.org//movie/843241
52,"Honeymoon With My Mother
(2022)",Comedy,04/29/2022,1h 50m,Paco Caballero,https://www.themoviedb.org//movie/955971
53,"Scream
(2022)","Horror, Mystery, Thriller",01/14/2022,1h 54m,Kevin Williamson,https://www.themoviedb.org//movie/646385
54,"The Boss Baby: Family Business
(2021)","Animation, Comedy, Adventure, Family",07/02/2021,1h 47m,Michael McCullers,https://www.themoviedb.org//movie/459151
55,"Kimi
(2022)",Thriller,02/10/2022,1h 29m,Steven Soderbergh,https://www.themoviedb.org//movie/800510
56,"The King's Man
(2021)","Action, Adventure, Thriller, War, Mystery",01/14/2022,2h 11m,Matthew Vaughn,https://www.themoviedb.org//movie/476669
57,"Pirates of the Caribbean: On Stranger Tides
(2011)","Adventure, Action, Fantasy",05/20/2011,2h 17m,Rob Marshall,https://www.themoviedb.org//movie/1865
58,"Clifford the Big Red Dog
(2021)","Family, Adventure, Comedy, Fantasy",11/10/2021,1h 37m,Norman Bridwell,https://www.themoviedb.org//movie/585245
59,"Texas Chainsaw Massacre
(2022)","Horror, Thriller",02/18/2022,1h 23m,Kim Henkel,https://www.themoviedb.org//movie/632727
60,"Last Man Down
(2021)","Action, Thriller",10/19/2021,1h 27m,Fansu Njie,https://www.themoviedb.org//movie/860623
61,"Ghostbusters: Afterlife
(2021)","Fantasy, Comedy, Adventure",11/11/2021,2h 4m,Jason Reitman,https://www.themoviedb.org//movie/425909
62,"Tom and Jerry: Cowboy Up!
(2022)","Animation, Comedy, Family, Western",01/25/2022,1h 15m,William Hanna,https://www.themoviedb.org//movie/892153
63,"Gold
(2022)","Thriller, Action",01/13/2022,1h 37m,Anthony Hayes,https://www.themoviedb.org//movie/760926
64,"Pirates of the Caribbean: Dead Man's Chest
(2006)","Adventure, Fantasy, Action",07/07/2006,2h 31m,Terry Rossio,https://www.themoviedb.org//movie/58
65,"The Matrix Resurrections
(2021)","Science Fiction, Action, Adventure",12/22/2021,2h 28m,Lana Wachowski,https://www.themoviedb.org//movie/624860
66,"Avengers: Infinity War
(2018)","Adventure, Action, Science Fiction",04/27/2018,2h 29m,Joe Russo,https://www.themoviedb.org//movie/299536
67,"The In Between
(2022)","Romance, Science Fiction, Drama",02/11/2022,1h 56m,Arie Posin,https://www.themoviedb.org//movie/818750
68,"The House
(2022)","Animation, Drama, Comedy, Horror",01/14/2022,1h 37m,Emma De Swaef,https://www.themoviedb.org//movie/926899
69,"Pirates of the Caribbean: At World's End
(2007)","Adventure, Fantasy, Action",05/19/2007,2h 49m,Ted Elliott,https://www.themoviedb.org//movie/285
70,"Pirates of the Caribbean: The Curse of the Black Pearl
(2003)","Adventure, Fantasy, Action",08/15/2003,2h 23m,Gore Verbinski,https://www.themoviedb.org//movie/22
71,"Restless
(2022)","Action, Thriller, Crime",02/25/2022,1h 35m,Régis Blondeau,https://www.themoviedb.org//movie/928381
72,"Dr. Strange
(1978)","TV Movie, Action, Adventure, Fantasy, Science Fiction",09/06/1978,1h 33m,Philip DeGuere Jr.,https://www.themoviedb.org//movie/50468
73,"Jackass Forever
(2022)","Comedy, Action, Documentary",02/04/2022,1h 36m,Jeff Tremaine,https://www.themoviedb.org//movie/656663
74,"The Simpsons in Plusaversary
(2021)","Animation, Comedy, Fantasy",11/12/2021,4m,David Silverman,https://www.themoviedb.org//movie/877183
75,"40 Years Young
(2022)",Comedy,03/10/2022,1h 21m,Pietro Loprieno,https://www.themoviedb.org//movie/949270
76,"PAW Patrol: The Movie
(2021)","Animation, Family, Adventure, Comedy",08/20/2021,1h 26m,Cal Brunker,https://www.themoviedb.org//movie/675445
77,"Cruella
(2021)","Comedy, Crime, Adventure",05/28/2021,2h 14m,Craig Gillespie,https://www.themoviedb.org//movie/337404
78,"Red Notice
(2021)","Action, Comedy, Crime, Thriller",11/05/2021,1h 58m,Rawson Marshall Thurber,https://www.themoviedb.org//movie/512195
79,"The Weekend Away
(2022)","Thriller, Mystery",03/03/2022,1h 30m,Sarah Alderson,https://www.themoviedb.org//movie/840882
80,"Free Guy
(2021)","Comedy, Action, Adventure, Science Fiction",09/17/2021,1h 55m,Matt Lieberman,https://www.themoviedb.org//movie/550988
81,"Fistful of Vengeance
(2022)","Action, Crime, Fantasy",02/17/2022,1h 34m,Roel Reiné,https://www.themoviedb.org//movie/890656
82,"F9
(2021)","Action, Crime, Thriller, Adventure",06/25/2021,2h 23m,Justin Lin,https://www.themoviedb.org//movie/385128
83,"¿Nos casamos? Sí, mi amor
(2022)","Comedy, Romance",02/03/2022,None,Pedro Flores Maldonado,https://www.themoviedb.org//movie/935819
84,"It Follows
(2015)","Horror, Mystery",03/27/2015,1h 41m,David Robert Mitchell,https://www.themoviedb.org//movie/270303
85,"Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon
(2021)","Animation, Action, Adventure, Fantasy",07/30/2021,1h 34m,Toshifumi Akai,https://www.themoviedb.org//movie/829920
86,"The Commando
(2022)","Action, Crime, Thriller",01/07/2022,1h 33m,Asif Akbar,https://www.themoviedb.org//movie/753232
87,"Firestarter
(2022)","Thriller, Fantasy, Horror",05/13/2022,1h 34m,Keith Thomas,https://www.themoviedb.org//movie/532710
